scenario,trial,weeks_common,n_obs,detected,skip_reason,isolated_spikes,edge_mode,delta_frac_used,calibration_missing
null,68,7,70,True,,2,tyler,0.05,False
null,69,7,70,True,,2,tyler,0.05,False
null,70,8,80,False,no_isolated_spike,0,tyler,0.05,False
null,71,7,70,True,,1,tyler,0.05,False
null,72,8,80,True,,1,tyler,0.05,False
null,73,8,80,True,,3,tyler,0.05,False
null,74,8,80,False,no_isolated_spike,0,tyler,0.05,False
null,75,6,60,True,,5,tyler,0.05,False
null,76,6,60,True,,3,tyler,0.05,False
null,77,8,80,True,,1,tyler,0.05,False
null,78,8,80,True,,3,tyler,0.05,False
null,79,8,80,True,,3,tyler,0.05,False
null,80,6,60,True,,2,tyler,0.05,False
null,81,8,80,False,no_isolated_spike,0,tyler,0.05,False
null,82,7,70,False,no_isolated_spike,0,tyler,0.05,False
null,83,7,70,False,no_isolated_spike,0,tyler,0.05,False
null,84,6,60,True,,3,tyler,0.05,False
null,85,7,70,True,,3,tyler,0.05,False
null,86,7,70,True,,1,tyler,0.05,False
null,87,6,60,True,,4,tyler,0.05,False
null,88,8,80,True,,1,tyler,0.05,False
null,89,8,80,True,,1,tyler,0.05,False
null,90,6,60,True,,4,tyler,0.05,False
null,91,6,60,True,,5,tyler,0.05,False
null,92,6,60,True,,4,tyler,0.05,False
null,93,6,60,True,,4,tyler,0.05,False
null,94,7,70,False,no_isolated_spike,0,tyler,0.05,False
null,95,8,80,True,,2,tyler,0.05,False
null,96,6,60,True,,4,tyler,0.05,False
null,97,6,60,True,,5,tyler,0.05,False
null,98,8,80,True,,4,tyler,0.05,False
null,99,6,60,True,,5,tyler,0.05,False
null,100,8,80,True,,1,tyler,0.05,False
null,101,8,80,True,,1,tyler,0.05,False
null,102,7,70,False,no_isolated_spike,0,tyler,0.05,False
null,103,8,80,True,,1,tyler,0.05,False
null,104,8,80,False,no_isolated_spike,0,tyler,0.05,False
null,105,8,80,True,,1,tyler,0.05,False
null,106,6,60,True,,3,tyler,0.05,False
null,107,8,80,True,,4,tyler,0.05,False
null,108,6,60,True,,4,tyler,0.05,False
null,109,6,60,True,,5,tyler,0.05,False
null,110,8,80,True,,2,tyler,0.05,False
null,111,8,80,True,,2,tyler,0.05,False
null,112,8,80,True,,1,tyler,0.05,False
null,113,8,80,True,,2,tyler,0.05,False
null,114,8,80,True,,2,tyler,0.05,False
null,115,6,60,True,,5,tyler,0.05,False
null,116,8,80,False,no_isolated_spike,0,tyler,0.05,False
null,117,8,80,True,,2,tyler,0.05,False
null,118,7,70,False,no_isolated_spike,0,tyler,0.05,False
null,119,8,80,True,,2,tyler,0.05,False
null,120,7,70,True,,2,tyler,0.05,False
null,121,8,80,False,no_isolated_spike,0,tyler,0.05,False
null,122,6,60,True,,4,tyler,0.05,False
null,123,6,60,True,,4,tyler,0.05,False
null,124,6,60,True,,4,tyler,0.05,False
null,125,7,70,True,,2,tyler,0.05,False
null,126,8,80,False,no_isolated_spike,0,tyler,0.05,False
null,127,7,70,True,,2,tyler,0.05,False
null,128,8,80,True,,2,tyler,0.05,False
null,129,7,70,True,,4,tyler,0.05,False
null,130,8,80,True,,2,tyler,0.05,False
null,131,6,60,True,,3,tyler,0.05,False
null,132,6,60,True,,7,tyler,0.05,False
null,133,7,70,False,no_isolated_spike,0,tyler,0.05,False
null,134,8,80,True,,2,tyler,0.05,False
null,135,8,80,False,no_isolated_spike,0,tyler,0.05,False
null,136,7,70,True,,1,tyler,0.05,False
null,137,6,60,True,,5,tyler,0.05,False
null,138,6,60,True,,6,tyler,0.05,False
null,139,7,70,True,,2,tyler,0.05,False
null,140,8,80,True,,1,tyler,0.05,False
null,141,6,60,True,,5,tyler,0.05,False
null,142,8,80,True,,1,tyler,0.05,False
null,143,6,60,True,,4,tyler,0.05,False
null,144,8,80,True,,1,tyler,0.05,False
null,145,8,80,False,no_isolated_spike,0,tyler,0.05,False
null,146,7,70,True,,2,tyler,0.05,False
null,147,6,60,True,,4,tyler,0.05,False
null,148,8,80,True,,1,tyler,0.05,False
null,149,8,80,True,,3,tyler,0.05,False
null,150,7,70,True,,4,tyler,0.05,False
null,151,6,60,True,,3,tyler,0.05,False
null,152,8,80,True,,2,tyler,0.05,False
null,153,7,70,True,,1,tyler,0.05,False
null,154,6,60,True,,3,tyler,0.05,False
null,155,6,60,True,,5,tyler,0.05,False
null,156,8,80,True,,3,tyler,0.05,False
null,157,8,80,True,,1,tyler,0.05,False
null,158,7,70,True,,2,tyler,0.05,False
null,159,6,60,True,,2,tyler,0.05,False
null,160,7,70,True,,2,tyler,0.05,False
null,161,6,60,True,,2,tyler,0.05,False
null,162,7,70,True,,3,tyler,0.05,False
null,163,8,80,True,,2,tyler,0.05,False
null,164,8,80,False,no_isolated_spike,0,tyler,0.05,False
null,165,6,60,True,,3,tyler,0.05,False
null,166,6,60,True,,2,tyler,0.05,False
null,167,6,60,True,,4,tyler,0.05,False
null,168,7,70,True,,3,tyler,0.05,False
null,169,7,70,True,,3,tyler,0.05,False
null,170,7,70,False,no_isolated_spike,0,tyler,0.05,False
null,171,8,80,False,no_isolated_spike,0,tyler,0.05,False
null,172,8,80,True,,1,tyler,0.05,False
null,173,8,80,False,no_isolated_spike,0,tyler,0.05,False
null,174,6,60,True,,3,tyler,0.05,False
null,175,6,60,True,,6,tyler,0.05,False
null,176,8,80,True,,1,tyler,0.05,False
null,177,8,80,True,,1,tyler,0.05,False
null,178,6,60,True,,4,tyler,0.05,False
null,179,7,70,False,no_isolated_spike,0,tyler,0.05,False
null,180,6,60,True,,2,tyler,0.05,False
null,181,8,80,True,,1,tyler,0.05,False
null,182,7,70,True,,1,tyler,0.05,False
null,183,7,70,True,,3,tyler,0.05,False
null,184,8,80,True,,1,tyler,0.05,False
null,185,6,60,True,,5,tyler,0.05,False
null,186,8,80,True,,2,tyler,0.05,False
null,187,8,80,False,no_isolated_spike,0,tyler,0.05,False
null,188,7,70,True,,3,tyler,0.05,False
null,189,6,60,True,,5,tyler,0.05,False
null,190,8,80,True,,1,tyler,0.05,False
null,191,7,70,True,,1,tyler,0.05,False
null,192,8,80,False,no_isolated_spike,0,tyler,0.05,False
null,193,7,70,True,,1,tyler,0.05,False
null,194,8,80,True,,1,tyler,0.05,False
null,195,6,60,True,,3,tyler,0.05,False
null,196,8,80,True,,2,tyler,0.05,False
null,197,7,70,False,no_isolated_spike,0,tyler,0.05,False
null,198,6,60,True,,5,tyler,0.05,False
null,199,8,80,False,no_isolated_spike,0,tyler,0.05,False
null,200,7,70,True,,3,tyler,0.05,False
null,201,6,60,True,,3,tyler,0.05,False
null,202,8,80,True,,4,tyler,0.05,False
null,203,6,60,True,,5,tyler,0.05,False
null,204,8,80,True,,3,tyler,0.05,False
null,205,7,70,True,,1,tyler,0.05,False
null,206,6,60,True,,5,tyler,0.05,False
null,207,6,60,True,,2,tyler,0.05,False
null,208,7,70,True,,2,tyler,0.05,False
null,209,6,60,True,,2,tyler,0.05,False
null,210,8,80,False,no_isolated_spike,0,tyler,0.05,False
null,211,6,60,True,,2,tyler,0.05,False
null,212,6,60,True,,3,tyler,0.05,False
null,213,6,60,True,,2,tyler,0.05,False
null,214,6,60,True,,2,tyler,0.05,False
null,215,7,70,True,,3,tyler,0.05,False
null,216,7,70,False,no_isolated_spike,0,tyler,0.05,False
null,217,7,70,True,,1,tyler,0.05,False
null,218,7,70,False,no_isolated_spike,0,tyler,0.05,False
null,219,7,70,True,,2,tyler,0.05,False
